iter	Logloss
0	0.6792945891
1	0.6670967882
2	0.6565297467
3	0.6463668588
4	0.6372710395
5	0.6280231901
6	0.6201512266
7	0.6111259156
8	0.6034663527
9	0.5953473034
10	0.5869639128
11	0.5814284919
12	0.5753865572
13	0.5708873293
14	0.5651072567
15	0.5599726265
16	0.554422613
17	0.5503253126
18	0.5463838902
19	0.5423471338
20	0.5386733308
21	0.5352351452
22	0.5315609014
23	0.5267463302
24	0.5226242327
25	0.5193914769
26	0.5161945289
27	0.5116500531
28	0.5087173691
29	0.5059402054
30	0.5025350746
31	0.4994948671
32	0.4969340575
33	0.4953301939
34	0.4915529839
35	0.4898248958
36	0.4875785901
37	0.4858066827
38	0.4837939621
39	0.481749518
40	0.4800296503
41	0.4789226381
42	0.4775678487
43	0.4755937261
44	0.4738472519
45	0.4723272423
46	0.4707974051
47	0.4694207027
48	0.4682823066
49	0.4668649416
50	0.46560825
51	0.4646637418
52	0.4631767223
53	0.4619660805
54	0.4604195765
55	0.4592769666
56	0.4582436431
57	0.4573973731
58	0.4558201433
59	0.4552558737
60	0.4545579488
61	0.4537919593
62	0.4526256005
63	0.4520570201
64	0.451055257
65	0.4501293594
66	0.4492292673
67	0.4481433677
68	0.4467255097
69	0.4461605838
70	0.4446722949
71	0.4433906329
72	0.4421566339
73	0.4414487791
74	0.4409109464
75	0.4403566657
76	0.4396507243
77	0.4384440486
78	0.4380642919
79	0.4373304264
80	0.4366466259
81	0.4357308694
82	0.4347964997
83	0.4343450759
84	0.4334329634
85	0.4330930344
86	0.43261836
87	0.4321005588
88	0.4317874674
89	0.4311521474
90	0.430735936
91	0.4300351126
92	0.429509145
93	0.4291070559
94	0.4287934262
95	0.4284620431
96	0.4278544238
97	0.4274270722
98	0.4270039997
99	0.4264096945
100	0.4258339464
101	0.4250974925
102	0.4247153409
103	0.4243052293
104	0.4238569074
105	0.4234730959
106	0.4232392532
107	0.4229344828
108	0.4221703923
109	0.42199221
110	0.4216488565
111	0.4212251151
112	0.421059211
113	0.4207407803
114	0.420438133
115	0.4201693574
116	0.4198405944
117	0.4193273748
118	0.4191168601
119	0.4190060179
120	0.4187017801
121	0.4183963991
122	0.4181510344
123	0.4177144161
124	0.4174924787
125	0.4172195477
126	0.4164434336
127	0.4162571915
128	0.4157027938
129	0.41546818
130	0.4151932813
131	0.4147055036
132	0.4143752639
133	0.4139935819
134	0.4137489172
135	0.4134357664
136	0.4130368681
137	0.4128036334
138	0.4123584701
139	0.4120655804
140	0.4117844894
141	0.4115184142
142	0.411357965
143	0.4112986204
144	0.4109995037
145	0.410594711
146	0.4104415413
147	0.4103287428
148	0.4100218071
149	0.4097128403
150	0.4096058613
151	0.4089607297
152	0.4087737341
153	0.4085074432
154	0.4083747265
155	0.408331274
156	0.4080648869
157	0.4079101387
158	0.4078466417
159	0.407562754
160	0.4074772287
161	0.4073805661
162	0.4073549411
163	0.4071436456
164	0.4069518444
165	0.4068949011
166	0.4067866516
167	0.4066381769
168	0.4063545103
169	0.4061403164
170	0.4060724565
171	0.4056768816
172	0.4055628218
173	0.4053782753
174	0.4052834578
175	0.4049149466
176	0.404724483
177	0.4047114992
178	0.4046732267
179	0.4046553128
180	0.4046387264
181	0.4045978733
182	0.4043889153
183	0.4043703838
184	0.4041338566
185	0.4040762426
186	0.4040519563
187	0.4035173634
188	0.4029664685
189	0.4026341116
190	0.4024960436
191	0.4023417155
192	0.4020092433
193	0.4017487234
194	0.4016780791
195	0.401621824
196	0.401282846
197	0.4012643413
198	0.4011469234
199	0.401020361
200	0.4009697945
201	0.4009465248
202	0.4008649793
203	0.4008263656
204	0.4008058361
205	0.400726737
206	0.4005503702
207	0.4004289844
208	0.4000752588
209	0.399935151
