iter	Passed	Remaining
0	96	96096
1	141	70836
2	179	59692
3	229	57244
4	270	53877
5	312	51704
6	350	49697
7	390	48386
8	432	47574
9	473	46845
10	514	46221
11	556	45814
12	606	46059
13	647	45583
14	684	44920
15	721	44384
16	760	43953
17	798	43546
18	838	43273
19	878	43027
20	916	42709
21	952	42363
22	991	42104
23	1030	41922
24	1070	41749
25	1109	41547
26	1146	41303
27	1183	41098
28	1222	40948
29	1261	40798
30	1300	40651
31	1342	40602
32	1381	40491
33	1423	40449
34	1466	40420
35	1502	40244
36	1539	40056
37	1576	39922
38	1613	39746
39	1647	39545
40	1681	39339
41	1716	39155
42	1751	38990
43	1787	38842
44	1825	38732
45	1861	38600
46	1897	38478
47	1934	38373
48	1969	38216
49	2006	38116
50	2043	38029
51	2077	37869
52	2114	37781
53	2151	37695
54	2187	37581
55	2221	37447
56	2256	37335
57	2293	37241
58	2326	37113
59	2363	37027
60	2398	36921
61	2432	36802
62	2466	36688
63	2501	36591
64	2536	36484
65	2570	36377
66	2606	36289
67	2642	36219
68	2676	36114
69	2710	36007
70	2744	35909
71	2780	35833
72	2815	35750
73	2850	35666
74	2885	35588
75	2919	35493
76	2954	35410
77	2988	35327
78	3022	35235
79	3056	35153
80	3091	35079
81	3126	35006
82	3162	34945
83	3198	34876
84	3233	34804
85	3269	34751
86	3305	34686
87	3340	34622
88	3375	34546
89	3413	34509
90	3449	34457
91	3482	34375
92	3516	34297
93	3552	34243
94	3588	34186
95	3622	34113
96	3659	34068
97	3694	34000
98	3726	33919
99	3762	33858
100	3796	33794
101	3831	33736
102	3865	33666
103	3902	33617
104	3935	33545
105	3969	33475
106	4003	33411
107	4037	33344
108	4071	33283
109	4106	33224
110	4141	33165
111	4176	33114
112	4210	33050
113	4244	32990
114	4279	32937
115	4314	32876
116	4348	32820
117	4382	32757
118	4419	32721
119	4453	32661
120	4488	32602
121	4522	32550
122	4557	32497
123	4593	32449
124	4627	32390
125	4660	32329
126	4697	32287
127	4731	32232
128	4764	32170
129	4799	32120
130	4833	32063
131	4867	32010
132	4901	31954
133	4936	31905
134	4973	31864
135	5009	31823
136	5047	31798
137	5083	31754
138	5120	31715
139	5156	31675
140	5194	31648
141	5229	31596
142	5266	31561
143	5300	31510
144	5335	31462
145	5370	31413
146	5407	31377
147	5448	31367
148	5483	31316
149	5518	31270
150	5554	31231
151	5591	31197
152	5630	31171
153	5666	31128
154	5702	31088
155	5739	31049
156	5773	30999
157	5809	30959
158	5844	30912
159	5880	30871
160	5915	30829
161	5954	30803
162	5989	30753
163	6025	30712
164	6058	30660
165	6093	30613
166	6128	30568
167	6162	30520
168	6197	30474
169	6232	30428
170	6268	30388
171	6301	30333
172	6337	30293
173	6372	30249
174	6408	30211
175	6446	30179
176	6485	30154
177	6520	30113
178	6555	30065
179	6590	30023
180	6626	29982
181	6660	29933
182	6694	29885
183	6730	29847
184	6763	29798
185	6799	29757
186	6833	29709
187	6867	29660
188	6901	29615
189	6935	29566
190	6968	29516
191	7004	29476
192	7038	29431
193	7072	29384
194	7106	29336
195	7140	29292
196	7175	29249
197	7209	29201
198	7245	29165
199	7281	29125
200	7315	29079
201	7350	29039
202	7387	29003
203	7422	28962
204	7455	28912
205	7493	28881
206	7527	28836
207	7561	28790
208	7595	28747
209	7632	28712
210	7668	28673
211	7714	28674
212	7760	28673
213	7799	28646
214	7866	28722
215	7903	28687
216	7940	28653
217	7977	28616
218	8016	28587
219	8051	28547
220	8088	28510
221	8124	28471
222	8160	28432
223	8198	28402
224	8234	28363
225	8273	28335
226	8309	28296
227	8349	28269
228	8385	28232
229	8442	28265
230	8485	28249
231	8532	28246
232	8571	28215
233	8607	28178
234	8647	28150
235	8683	28111
236	8721	28079
237	8763	28057
238	8800	28022
239	8839	27990
240	8878	27960
241	8914	27923
242	8954	27894
243	8998	27881
244	9038	27852
245	9074	27814
246	9112	27779
247	9149	27743
248	9189	27714
249	9227	27683
250	9272	27670
251	9321	27669
252	9379	27692
253	9434	27710
254	9496	27745
255	9538	27721
256	9577	27688
257	9613	27647
258	9651	27613
259	9691	27584
260	9726	27540
261	9761	27496
262	9796	27453
263	9833	27415
264	9869	27372
265	9905	27334
266	9943	27297
267	9977	27252
268	10014	27213
269	10067	27218
270	10102	27176
271	10138	27136
272	10173	27093
273	10211	27056
